#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	4         	ok              	1.0000000000e+03	2.2865000000e+03	5.8273287761e+21	3.1677074881e+21	2.3634739150e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	4         	ok              	7.7430000000e+02	2.1434000000e+03	4.8137553291e+21	2.6165094633e+21	2.3636766491e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	4         	ok              	5.9950000000e+02	2.0074000000e+03	3.9797765965e+21	2.1630748338e+21	2.3638151462e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	4         	ok              	4.6420000000e+02	1.8782000000e+03	3.2937032451e+21	1.7901094155e+21	2.3639117135e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	3         	ok              	3.5940000000e+02	1.7683000000e+03	2.7086517679e+21	1.4721036950e+21	2.3639654999e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	2.7830000000e+02	1.6921000000e+03	2.1918992422e+21	1.1912514926e+21	2.3639783290e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	2.1540000000e+02	1.6248000000e+03	1.7667709718e+21	9.6020080450e+20	2.3639841035e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	1.6680000000e+02	1.5726000000e+03	1.4135500131e+21	7.6823493388e+20	2.3639783193e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	1.2920000000e+02	1.5569000000e+03	1.1059297586e+21	6.0106033898e+20	2.3639366544e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	4         	ok              	1.0000000000e+02	1.5444000000e+03	8.6289161807e+20	4.6898233434e+20	2.3638838207e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	4         	ok              	7.7430000000e+01	1.5315000000e+03	6.7374683951e+20	3.6619173253e+20	2.3638208975e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	4         	ok              	5.9950000000e+01	1.5248000000e+03	5.2391840800e+20	2.8476891536e+20	2.3637276695e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	5         	ok              	4.6420000000e+01	1.5174000000e+03	4.0763455656e+20	2.2157529354e+20	2.3636111047e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	5         	ok              	3.5940000000e+01	1.5217000000e+03	3.1468710405e+20	1.7106663362e+20	2.3634150447e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	6         	ok              	2.7830000000e+01	1.5273000000e+03	2.4275785340e+20	1.3197909059e+20	2.3631675849e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
